Index,Country,X1970,X1980,X1990,X1995,X2000,X2005,X2010,X2015
85,Jordan,38.51851852,38.51508121,29.35483871,24.46982055,24.87872488,26.7807841,27.64830508,29.19950228
86,Kazakhstan,,,6.078233013,5.371803894,8.375,6.087067372,5.947804062,6.106665475
87,Kenya,47.67801858,43.7357631,48.73188406,44.5026178,34.66494845,38.23529412,44.60303301,52.87449393
88,Kosovo,,,,,11.35029354,12.18045113,11.02181401,13.91891892
89,Kuwait,13.82751247,20.24214907,10.21582734,16.51205937,13.00496868,12.60426321,16.27906977,15.26486989
90,Kyrgyzstan,,,26.438296,25.11210762,19.1011236,22.29038855,32.78145695,27.75119617
91,Late-demographic dividend,11.14064159,10.46134411,11.35255208,10.7600429,13.25657036,12.39762896,12.0167034,12.87931513
92,Latin America & Caribbean,32.67866393,34.53958757,34.71117344,35.77977858,33.75421162,34.48695665,35.15005653,36.31600817
93,Latin America & Caribbean (excluding high income),35.20766773,35.42879717,35.87828817,36.25609433,34.49376631,35.94817808,37.06657985,38.69095766
94,Latin America & Caribbean (IDA & IBRD),34.12043947,35.51660517,35.57023204,36.401647,34.41879601,35.0630201,35.84253442,36.93517545
95,Latvia,,,16.30261055,22.58426966,30.99415205,39.57783641,39.30778739,42.85714286
96,Least developed countries: UN classification,33.74635569,36.02484472,38.35140998,36.25730994,33.81454025,35.1760176,36.76778243,37.82064128
97,Lebanon,27.29257642,27.81954887,33.75680581,32.68178264,28.59185132,28.00829876,27.8021978,24.40768887
98,Libya,17.74193548,26.67804323,23.9643825,28.87067395,30.27747552,29.66496045,37.73152966,39.31106472
99,Lithuania,,,17.10648867,21.89128816,29.74559687,33.08883456,35.02871206,46.16876819
100,Low & middle income,16.65518992,16.27374881,13.8392218,13.90919241,15.8592863,14.88982679,14.61717822,15.25758823
101,Low income,9.632,12.02746757,12.4369483,14.98922123,16.62269129,18.77337322,22.22743381,31.88230808
102,Lower middle income,27.35712126,25.7103438,13.95863041,16.30458563,17.3214835,17.0707286,18.50963275,17.97124025
103,Luxembourg,3.282674772,10.20900322,24.39478585,40.75425791,60.17369727,62.71777003,61.4084507,66.81081081
104,Macedonia,,,8.953488372,10.57692308,11.48886284,11.46067416,16.06714628,21.53432032
105,Malaysia,31.89992181,26.9734065,29.34059286,25.72577605,27.99269756,26.11514023,23.22604436,29.71159079
106,Malta,30.76923077,27.27272727,19.48051948,28.99159664,21.59624413,11.76470588,21.01167315,23.07692308
107,Mauritius,50,42.10526316,37.93103448,34.83870968,30.86419753,29.05405405,25.13661202,25.50505051
108,Mexico,32.24498506,33.02859936,32.49892942,30.68946573,29.36432901,31.70672316,34.37835369,35.09236053
109,Middle East & North Africa,21.73686269,23.85764397,26.05384717,24.37340792,24.95409117,24.32280793,24.26434401,24.62089434
110,Middle East & North Africa (excluding high income),22.80432909,25.72460859,26.44364969,25.04429238,27.27234127,26.27684808,26.15782151,26.10291999
111,Middle East & North Africa (IDA & IBRD),22.80432909,25.72460859,26.44364969,25.04429238,27.27234127,26.27684808,26.15782151,26.10291999
112,Middle income,17.00250029,16.46201015,13.8709904,13.89067004,15.84649977,14.83156568,14.5262669,15.11478683
113,Moldova,,,7.929226737,10.93355761,10.85626911,15.45454545,22.03821656,24.68965517
114,Mongolia,,,11.97511664,8.097560976,10.80178174,9.363636364,10.24734982,11.12334802
115,Montenegro,,,,,,24.24242424,27.38095238,23.42342342
116,Morocco,26.443769,18.93274854,19.79643766,22.93824319,27.65741368,26.20210851,29.61915125,28.84579175
117,Mozambique,10.58020478,12.39316239,56.48148148,63.47826087,64.39393939,68.87417219,71.00840336,56.84754522
118,Myanmar,34.36807095,37.67258383,34.27109974,40.47619048,37.82327586,44.46546831,29.11392405,36.60531697
119,Namibia,,,,34.63687151,58.94736842,61.84738956,57.65472313,55.43175487
120,Nepal,31.57894737,30.76923077,38.20224719,35.22727273,26.77419355,27.36156352,47.08737864,44.01349073
121,Netherlands,13.3667633,15.2173913,17.97031412,18.07619397,19.87119946,20.60355667,20.02824194,19.85304031
122,New Zealand,37.40740741,40.98360656,39.83440662,45.04805683,41.73282706,40.14836795,44.81054366,44.94238156
123,Nicaragua,46.30872483,48.61878453,40.2173913,44.22310757,40.96045198,35.98014888,37.38317757,41.62995595
124,Niger,,,,,53.84615385,54.79452055,58.82352941,59.18367347
125,Nigeria,52.28070175,53.21499014,41.91019244,45.49893195,50,50.79787234,49.39931863,35.38896277
126,North America,25.2975213,27.31398617,29.71120095,30.32692332,30.32436461,31.5560294,31.37291628,33.24265705
127,North Korea,2.557064432,5.133660161,4.014379868,3.306325144,2.444253859,1.725740077,2.013729977,3.544973545
128,Norway,29.70856894,31.17884686,36.52585579,36.68789809,37.80985253,37.89504204,37.75944651,39.76210705
129,OECD members,19.45136063,21.61909055,24.9430739,26.29421077,26.86150018,27.48179134,27.45908818,28.92708291
130,Oman,34.61538462,28.44444444,16.53543307,14.90810075,12.83684468,14.88240065,19.26345609,20.78464107
131,Other small states,17.19681909,16.02163962,11.98884758,15.49212888,16.53800864,17.9293931,19.71726741,19.03584672
132,Pakistan,20.03780718,27.7663513,24.62473195,25.53648069,28.3347228,24.83083512,26.74330085,28.93109219
133,Panama,31.72690763,35.73883162,49.609375,42.29828851,47.74590164,42.24519941,39.81900452,36.44948064
134,Paraguay,68.42105263,80.74074074,83.93782383,83.95415473,85.36585366,87.8962536,92.48927039,93.06358382
135,Peru,34.20026008,30.06375674,37.30407524,37.33905579,36.79424024,35.18518519,39.98539791,40.30131827
136,Philippines,38.76575402,31.38313831,36.11987382,38.67924528,36.10336221,35.18466704,30.78718714,27.83408212
137,Poland,9.823572398,6.759452898,5.863758954,6.691460964,9.307463923,11.63810552,15.30983809,15.66800459
138,Portugal,27.03266157,28.51727043,25.58078141,27.34011012,30.44605809,31.07381457,38.94847529,36.6970334
139,Post-demographic dividend,19.53764844,21.90559416,24.11795388,25.9964631,26.77026137,27.28881796,27.21763683,28.65809257
140,Pre-demographic dividend,37.13355049,43.75693332,43.24468558,33.90790136,41.92904514,43.36535822,40.3204941,34.5928703
141,Qatar,10.26785714,15.04297994,11.82622687,11.70528818,11.38823529,14.24698795,18.38879159,18.24507151
142,Romania,7.248146533,3.885192286,6.969282871,6.937595647,10.95779221,13.01532484,18.48582129,22.4471831
143,Russia,,,13.80759327,12.33212101,12.82915711,14.90557888,15.96421003,16.24476168
144,Saudi Arabia,26.20363062,19.69620762,32.69128938,28.24339839,25.97518864,25.4195194,25.14435696,25.91839555
145,Senegal,35.24590164,35.29411765,34.27230047,31.4516129,33.23863636,31.6017316,37.72893773,38.85350318
146,Serbia,,,7.212003872,6.118332586,5.418604651,13.23915237,14.08020924,15.48150092
147,Singapore,25.24752475,22.60869565,14.0538674,15.01197764,12.39316239,14.7649234,15.8762421,15.18093557
148,Slovakia,10.95960895,7.383512545,7.459420026,9.194565745,11.00867679,17.47651007,20.68865741,20.6614388
149,Slovenia,,,19.35007386,27.29211087,25.10668563,27.89644013,33.72168285,41.53605016
150,Small states,19.41793893,16.59447753,12.6685828,15.6848829,16.87461649,17.60417466,19.47856455,18.75160941
151,South Africa,18.28251321,12.27565025,12.11549504,13.53994225,12.54144237,11.60117113,11.8208192,12.04929465
152,South Asia,24.05406739,21.79767716,13.76442268,13.01891215,12.85652719,12.51908029,13.53578982,12.98058911
153,South Asia (IDA & IBRD),24.05406739,21.79767716,13.76442268,13.01891215,12.85652719,12.51908029,13.53578982,12.98058911
154,South Korea,12.25916131,11.56327148,18.87272884,20.28616229,18.00977508,18.80614631,15.71895425,16.27833254
155,South Sudan,,,,,,,,65.13157895
156,Spain,21.46337366,24.22663802,31.1846002,31.51159223,32.43097691,32.73386686,37.54103367,35.30755636
157,Sri Lanka,48.91304348,57.45856354,67.84741144,67.88990826,48.95437262,47.12471994,55.80645161,47.72998805
158,Sub-Saharan Africa,22.67812026,20.06506416,18.94146194,20.46700565,21.12548219,20.92000545,22.57381788,22.85030748
159,Sub-Saharan Africa (excluding high income),22.67812026,20.06506416,18.94146194,20.46700565,21.12548219,20.92000545,22.57381788,22.85030748
160,Sub-Saharan Africa (IDA & IBRD),22.67812026,20.06506416,18.94146194,20.46700565,21.12548219,20.92000545,22.57381788,22.85030748
161,Sudan,64.17445483,61.85286104,74.85822306,64.73317865,48.17518248,49.79716024,58.98463594,59.22038981
162,Suriname,,,,,19.8630137,30.3030303,38.23529412,33.66834171
163,Sweden,16.88612534,22.83486113,38.12908183,35.73436402,40.81200693,45.65084539,47.11120765,53.28701229
164,Switzerland,23.61860704,26.31847134,35.5986261,34.65155534,39.46113495,37.74487472,39.83758701,44.83306836
165,Syrian Arab Republic,26.51933702,29.38311688,26.59808964,24.10025707,22.85868684,25.48175865,21.94816801,23.97533551
166,Tajikistan,,,6.624319419,7.317073171,1.834862385,5.106382979,11.73913043,33.47639485
167,"Tanzania, United Republic of",50.71428571,46.30872483,41.91616766,36.14457831,55.93869732,53.46534653,56.28058728,57.56991321
168,Thailand,35.22167488,28.5206048,33.79898628,33.42622365,29.01700703,27.43756244,25.58972293,24.71665572
169,Togo,61.76470588,86.48648649,74.13793103,67.24137931,45.26315789,63.54166667,76.92307692,77.3255814
170,Trinidad and Tobago,13.59404097,22.13500785,17.08860759,16.42156863,16.23762376,12.25769669,14.32408236,13.78716071
171,Tunisia,23.92473118,22.34848485,20.42657916,22.808268,22.85876347,23.57473035,29.45470159,25.30987605
172,Turkey,26.57560508,23.40276807,21.8988437,23.17876433,17.2580004,17.08219622,16.34260306,19.83328449
173,Turkmenistan,,,22.0031369,12,17.73049645,17.96631316,14.51669596,17.55223881
174,Ukraine,,,7.9679828,8.417780698,9.122033898,10.40723982,12.73143801,11.41033229
175,United Arab Emirates,16.66666667,36.21227888,21.76595334,18.81102814,18.60202931,20.46620466,17.85172982,21.03973095
176,United Kingdom,11.86634461,15.63420278,20.98738383,22.64250117,23.58629953,23.94238916,24.55695141,28.45233425
177,United States,25.33948681,27.01129288,29.71108497,30.30860328,30.44089292,31.6982535,31.33260396,33.3979881
178,Upper middle income,14.81457817,14.63525114,13.84585456,13.24421829,15.42011144,14.27417434,13.54126466,14.37982735
179,Uruguay,33.7254902,31.08614232,42.22222222,49.88610478,47.74066798,44.66019417,52.18120805,55.34290271
180,Uzbekistan,,,4.979108635,7.67928919,9.073359073,8.148217286,8.23202143,6.84371808
181,Venezuela,26.12200436,32.3935213,30.51517743,31.57348921,29.33379239,30.78830307,28.10987345,32.33757017
182,Vietnam,17.24984653,13.3557047,23.99309551,26.4845173,23.90321122,24.3267164,24.21286383,22.28037122
183,World,18.8645779,20.17715914,19.99110751,20.85907701,22.02179272,21.0639854,20.00447019,20.44906157
184,Yemen,55,66.66666667,63.65079365,41.99363733,32.98350825,29.58045672,31.96244971,34.62980319
,Zambia,18.69436202,26.52439024,30.078125,40,44.24242424,46.69811321,40.24390244,35.10971787
,Zimbabwe,28.68965517,23.4629862,12.86153846,14.38038436,14.4469526,12.85296981,13.00108342,22.28024369
